A	Coef.DKOvsDFC	Coef.CrATKOvsCrATFL	Coef.DKOvsCrATKO	Coef.DFCvsCrATFL	t.DKOvsDFC	t.CrATKOvsCrATFL	t.DKOvsCrATKO	t.DFCvsCrATFL	p.value.DKOvsDFC	p.value.CrATKOvsCrATFL	p.value.DKOvsCrATKO	p.value.DFCvsCrATFL	F	F.p.value	Res.DKOvsDFC	Res.CrATKOvsCrATFL	Res.DKOvsCrATKO	Res.DFCvsCrATFL
628	6.2304195321917	0.212560107935976	0.329021605775975	0.121240413385898	0.237701911225898	1.71756412485805	3.2561263251951	1.07317174516031	2.1040424374527	0.117636739199223	0.00900101138361701	0.30922029772902	0.0625610292967215	6.19991004990885	0.0125964018227264	0	0	0	0
634	3.47539954512504	0.94390975479179	0.613450177960015	0.285452692271513	-0.0450068845602614	2.13732120823263	1.70123475793259	0.708050261250196	-0.111637189747153	0.0591879405437414	0.120740872285046	0.495610590687261	0.91339212836256	2.54673197489627	0.116736494251294	0	0	0	0
637	7.47576263965097	0.457885098398447	0.366305969454666	0.237794820807001	0.14621569186322	3.57015245467894	3.49800058496622	2.03106240077801	1.24886317178522	0.00536320592646762	0.00603544795916882	0.0706133176220927	0.241074610908274	10.1203175076171	0.00247373964500163	1	0	0	0
642	4.97458587248958	0.201354795818969	0.112523029969239	0.0491232372045296	-0.0397085286452006	0.730972864091984	0.500295186733034	0.195351557856979	-0.15791147677729	0.482115515718414	0.628045234686977	0.849157472909228	0.877772217182648	0.261772493914235	0.851321662164541	0	0	0	0
644	3.95105834591013	0.0477478397315108	0.117301078143476	-0.0116166159361617	0.057936622475804	0.284317964131609	0.855457043765258	-0.0757741070845468	0.377915208673851	0.782156195107727	0.4129729710724	0.941142063399503	0.713648792004641	0.286096027030112	0.834397357417969	0	0	0	0
647	7.62412785975834	0.296669000673519	0.18283129024949	0.224126490677948	0.11028878025392	2.41105622172265	1.81983210488458	1.99534952939887	0.981877086960908	0.0373780573923031	0.0997971036007792	0.0749040202540714	0.350065508514579	4.5189733856189	0.0311428959941032	0	0	0	0
651	5.46087848843033	0.562695521673912	0.547525869632749	0.227810204179234	0.212640552138072	2.6284597675298	3.13240672949607	1.16571308514124	1.08808942493193	0.0258791172446621	0.0110648258816782	0.271652122910606	0.302906332558354	6.42019518190706	0.0113152527978969	0	0	0	0
654	4.58902171733944	-0.111111945898108	0.369666049308367	-0.26332083969371	0.217457155512764	-0.401425086648942	1.63568229203778	-1.04212451095272	0.860613357095116	0.696826401082524	0.13396186984298	0.322683793892531	0.4102622671721	0.951023936721476	0.45372871132437	0	0	0	0
660	8.31634620854654	0.393115884059055	0.202478073878344	0.240544658519225	0.0499068483385141	2.78066749699499	1.75409091318588	1.8638665268726	0.386704509060756	0.0200032165637393	0.110954532328714	0.0929131411300269	0.707340092783936	4.44716055148558	0.0324975570947857	1	0	0	0
664	6.21306781760764	0.292462939590904	0.212713214218219	0.237334923634779	0.157585198262094	2.09451600801253	1.86574781940712	1.86193756974436	1.23628582168263	0.0635600396598453	0.0926290946620326	0.0932052250919461	0.245511929566866	4.22250210834528	0.037216055454731	0	0	0	0
668	6.16172261300233	0.268723525596752	0.366975445428277	0.145367427173825	0.243619347005351	1.48549754374245	2.48455654505211	0.880286367757764	1.47526027157667	0.169236964387938	0.0330134464949178	0.400033098771586	0.171913908853306	3.71800805435534	0.0511671219032401	0	0	0	0
669	5.5966933637376	0.754517424096104	0.231858250619233	0.309023853677057	-0.213635319799814	4.03272587559892	1.51774081305722	1.80930613401945	-1.25081507449245	0.00255232307813973	0.16104147194049	0.101511099933201	0.240391880132349	6.24079043171015	0.0123459629704708	1	0	0	0
671	4.51295155281949	0.10264627338216	0.0568494002891828	0.0714587853955484	0.0256619123025708	0.517657776666159	0.351132535995823	0.394771515709015	0.141768320852383	0.616320480961302	0.733011502269799	0.70157029088593	0.890170256491598	0.178400376562158	0.908536651631155	0	0	0	0
674	5.48735996801166	1.02903113024049	0.230858620434213	0.424262401616432	-0.373910108189843	5.06838744264753	1.39262125264247	2.28910894309052	-2.01743300680963	0.000537679446584125	0.194894705588953	0.0459030611132453	0.0722225623168794	9.22161637642521	0.00343467753084362	1	0	0	0
694	6.06035532370334	-0.505067067827343	0.287850700706679	-0.463148118599752	0.329769649934271	-1.32180568108703	0.922638308356173	-1.32778907039765	0.945409296393971	0.216620068490278	0.378620704309754	0.214709048703102	0.36745200708612	0.890512950794612	0.480081332836245	0	0	0	0
698	7.76624902556542	0.486661072998177	0.297583241259539	0.381564993318118	0.19248716157948	3.47044621361116	2.59903906892303	2.98069716921606	1.50366503132547	0.00631478056924982	0.0272004782391532	0.0142732118915037	0.164575569977631	9.61791772539306	0.00296380305208169	1	0	0	0
700	8.71001856601488	0.19568799040632	0.276563629886834	0.112191412800101	0.193067052280615	1.28240197819633	2.2197328136912	0.80539744213126	1.38598584495666	0.229562014425126	0.0515712806864411	0.43992707297378	0.196848811552048	2.99094965110781	0.0840726469040131	0	0	0	0
702	4.70523774544422	-0.188816484016495	0.0135802138526691	-0.130640310611498	0.0717563872576665	-0.981823718785471	0.0864860080470288	-0.744151635455547	0.408737798327575	0.350090503432282	0.932842976081838	0.474462808311995	0.691628399677164	0.342569621808699	0.795276212503056	0	0	0	0
