,CrATFL_126_1_Proteins_norm,CrATFL_127N_1_Proteins_norm,CrATFL_127C_1_Proteins_norm,CrATKO_128N_1_Proteins_norm,CrATKO_128C_1_Proteins_norm,CrATKO_129N_1_Proteins_norm,DFC_129C_1_Proteins_norm,DFC_130N_1_Proteins_norm,DKO_130C_1_Proteins_norm,DKO_131_1_Proteins_norm
1997,69.3377317010243,81.13448243455738,75.56374723907595,72.43719762873833,67.77646319180248,75.58322516777206,76.75435573358239,70.09435622493861,74.7601849485396,76.957622787192
1998,11.55628861683738,20.9895470799377,20.138237559513637,28.018161346964824,27.311404426918926,16.189178081450507,22.053635461719402,22.21514328981412,17.043230974282455,24.19212399498362
2000,44.46658880826558,34.73158238787897,40.276475119027275,37.58533839226989,39.76219173919079,38.34811558043589,40.54401977896886,39.76409209866272,35.236618640080906,35.33574016590128
2001,50.87279228064282,53.3680412301555,53.24840291637165,51.936103960227484,48.598234347899854,54.537293661886395,59.03440409621832,60.66052825255179,53.639125704336806,53.62270003612511
2002,12.812406944754487,12.518429424357462,14.69547065153698,18.353360046095425,21.186420345881963,14.570260273305456,16.75691078750732,21.505070216623714,19.76178315422935,20.953808184631484
2003,62.805916395855334,65.50997653648716,62.86395778713041,59.74604440537448,66.57154829061488,61.82242379853913,68.37590033982872,70.09435622493861,62.6312598380073,60.95653290074613
2004,30.021228037218847,37.46116474356594,33.11016535685801,33.9732409363894,34.03884595854969,36.62801540928177,34.765774679828404,29.62019105308549,33.668223151650004,33.526093095410374
2005,55.14359459556098,64.66286477092915,66.76460740451368,71.16808230640194,76.81332495070949,71.43474828440036,70.68719837948491,70.9058683085848,78.52433412077376,67.43316452145041
2006,107.27250520412092,123.30182365344568,127.08860730125498,118.22297348841255,129.02630400217214,126.37677139832303,129.62529839071755,132.9865427075174,120.66189290995064,120.38915247897361
2007,35.2969250144707,38.402400038630404,35.377984901848286,34.07086519195374,33.73761723325279,39.157574484508416,38.32902582429835,36.82236079544532,40.882842398432146,33.526093095410374
2008,19.09299858434002,21.742535315989276,13.606917269941649,20.989214946332535,22.391335247069563,17.605731163577424,18.490384317249458,21.70794823753526,18.193387665798447,18.382204452881258
2009,38.81405633263859,43.014452984446315,44.721401427208214,60.52703844988917,37.05113321151869,51.299458045596296,48.344650662808476,57.414479917967085,37.11869322619798,50.193895060458146
2010,149.47808102213568,155.49207074465056,165.2786884388912,138.04069736797305,165.17375103780012,154.10073886280702,156.0126176767923,138.97144432440797,194.7947196631179,182.2981312062939
2011,84.53676346882128,100.99454716041771,101.77974117916352,99.67436493118845,97.79892614639351,104.52138098836483,108.34209560888354,116.14766697185921,106.33721411561508,128.7706757528262
2012,45.597095303390965,56.66236476288115,57.7840420063522,53.20521928256387,56.329771630520284,50.18645205249657,60.19005311604641,50.51662720697457,56.3576778842837,58.19444000368107
2013,74.99026417665127,52.9915471121297,61.41255327833664,56.62206822731567,68.37892064239628,64.45316523677484,59.22701226618967,59.54469913753831,56.566797282741156,62.099467892635126
2014,13.06363061033791,12.141935306331673,14.241906742538925,11.714910667720485,12.55119688737083,13.05252482816947,15.601261767679228,8.926632920107958,8.364775938298138,13.524730737353048
