,DFC_126_2_Proteins_norm,DFC_127N_2_Proteins_norm,DKO_127C_2_Proteins_norm,DKO_128N_2_Proteins_norm,DKO_128C_2_Proteins_norm,S3FL_129N_2_Proteins_norm,S3FL_129C_2_Proteins_norm,S3KO_130N_2_Proteins_norm,S3KO_130C_2_Proteins_norm,S3KO_131_2_Proteins_norm
29,5231.648627382842,5105.9765500344665,5222.28953097299,5243.339477331309,5056.153002965751,5148.951869599236,4490.352968409627,5094.765419336136,4954.556065739467,4901.848492263269
30,8800.787440141657,8158.098331827399,8467.040599560662,8747.098666776692,8508.228365567727,8544.570109277347,8080.314997109945,8875.671465193816,8602.94987315159,8842.379638896771
31,342.6933463140897,295.09566734385794,364.38380984139627,279.9378354558082,360.94829301805896,246.91581377405402,419.3058633651103,305.58993924548537,273.75938794416396,292.74505593159813
32,381.1534295062085,362.47753695944016,353.02804413953277,395.3549049354164,388.89532851504504,480.89694054035306,378.89317005484605,458.54140764216737,441.4981200662019,462.7155323138745
34,30.27250245654172,41.44446501013206,41.33498715478317,43.3047837674705,36.88597699786028,45.429144612602784,46.11687729424894,42.46333399553178,45.32102962617298,40.0186406325513
35,6.140685551682839,2.953725791367987,6.722613295503197,7.295406336636498,7.294998236345626,1.9980410824987331,11.215005799020705,2.7126454149479757,5.499630561378294,3.044896569868034
36,2056.914197162815,3479.0274625765874,2010.7881443603753,2380.640737005241,2138.2564548815326,2404.800182872686,1966.396577123122,2203.0854070015944,2369.424166860482,2689.0786564177415
37,1786.9394955397063,1855.4013166339969,1809.1097454952794,1922.9942856570053,1892.0759510183761,1845.0331996021198,1714.6390331520017,1818.2027556268604,1890.95630802057,1693.2887317648272
38,517.9722128507209,514.779023076852,475.30692921719907,484.7703979844483,515.6844527918126,510.0262763220451,510.37944493991637,544.9287308566644,514.622837530454,528.9420327085043
39,3069.4809252376745,3042.522172970987,3139.460408999993,3230.742636924332,3099.963264630759,3368.3817849219436,3152.286759285087,3342.9181438595415,3313.0181881784424,3284.790921051209
40,2023.840680244102,1989.888144072221,1823.7359717192794,1985.2858320698244,1895.8775698175987,2006.9796873414907,1850.089232500519,2042.7263299717852,1979.5614670649982,1966.8944378286835
41,12034.235442741812,12754.372574988927,12837.375164517043,11323.873597216892,13237.031165984223,12163.758630081367,15210.254933837357,12517.293602245514,11856.592420269226,11330.168882785023
42,3511.610284958839,3398.4461308308296,3532.2790561588554,3517.8823478663076,3518.7578112694177,3486.6868490172633,3692.3472971586184,3661.653980115929,3436.250650757475,3433.555867750476
43,2560.665875051744,2777.794498919631,2446.9403934375487,2661.700942666686,2488.519116680156,2638.2555093541173,2242.711116550718,2588.8027185040046,2629.230788380408,2629.1594417749807
44,16026.435170613933,15622.440318407243,14680.007130364225,15394.523271359118,15061.705443156927,18643.826500852654,15103.519016577711,16254.797321464026,18247.468667621994,18849.105976849864
45,33.935367522457796,31.475640464265112,28.434837317466226,36.1964391317734,34.420062101067394,33.125417946689524,30.06781727151241,42.359001479572235,28.618447921246307,23.924187334677413
46,7466.427242893525,8322.583936834204,8814.07279940961,7915.515875250601,8793.144282601339,7497.491421991037,9462.951186177143,7987.175759282395,7338.84960411775,7136.367589322139
47,11.311789174152599,20.30686481565491,10.719842822559153,17.30320733689426,13.254292570261773,17.246249343673277,13.922076164301565,16.693202553526003,10.490036070777117,15.550721767540319
48,1056.6288401913207,1062.141333789732,982.3191562740009,1131.1621055805363,912.6967511754675,1274.5398905202446,1035.8411390578262,1120.6355539213923,1173.152674750307,1097.9027060495598
