A	Coef.DKOvsDFC	Coef.S3KOvsS3FL	Coef.DKOvsS3KO	Coef.DFCvsS3FL	t.DKOvsDFC	t.S3KOvsS3FL	t.DKOvsS3KO	t.DFCvsS3FL	p.value.DKOvsDFC	p.value.S3KOvsS3FL	p.value.DKOvsS3KO	p.value.DFCvsS3FL	F	F.p.value	Res.DKOvsDFC	Res.S3KOvsS3FL	Res.DKOvsS3KO	Res.DFCvsS3FL
668	1.92601583637658	-0.241553231621806	-1.75702320433008	2.39870874766786	0.883238774959586	-0.211767292490445	-1.5403645992467	2.35114036386513	0.706860210458699	0.837055304239013	0.158211957945725	0.0435067778627616	0.497729032316953	2.52083181691559	0.124267899442057	0	0	0	0
671	2.55265694634913	1.38571595027973	0.749910335065421	-0.0851993899434822	-0.72100500515779	2.97238873335066	1.6085728323483	-0.204325646682092	-1.41181908068382	0.0158199799579579	0.142526481649304	0.842691856615575	0.19197341702956	4.17586217322682	0.0418711181324515	1	0	0	0
698	3.82213191218021	0.0980820597921861	0.23301628204964	0.117755172101963	0.252689394359417	0.371387265553301	0.88231507375732	0.498508340051106	0.873441498232375	0.719030198595082	0.40079294387073	0.630204503596956	0.405357000109054	0.599098464577129	0.631698253668082	0	0	0	0
700	6.63651160488042	0.332916209694162	0.236834952917981	0.224298690016341	0.12821743324016	2.05448005909013	1.46154700160901	1.54756440646248	0.722309695520541	0.0704309283640949	0.178231465169653	0.156486458437701	0.4886349149819	3.03263667805896	0.0863838388855335	0	0	0	0
703	5.26486716232501	-0.133997996488747	0.387670716927919	0.0734132270416463	0.595081940458312	-0.598802294220385	1.73239989239686	0.366787453903559	2.42756740823216	0.564222481968949	0.117596917608213	0.722340449073645	0.0384039726773051	2.2233794383826	0.155518374887962	0	0	0	0
711	7.63481664137941	0.41185554086457	0.120180108330693	0.356280753680701	0.064605321146824	2.44636559058669	0.713853408590818	2.36604944033816	0.350311272956015	0.0372428612344761	0.493599504833141	0.0424611817618329	0.734247332680699	3.57146666782194	0.0605546388241063	0	0	0	0
717	2.30039774278985	0.955372843087516	-0.528764958653042	0.754139201686353	-0.729998600054204	1.78516027618091	-0.988022850401856	1.57547256749039	-1.24519029283548	0.108245318925478	0.349221919543428	0.149955429866283	0.244826355431738	1.45010890469177	0.292622780276251	0	0	0	0
731	3.98906764402428	0.46780966431154	0.295584351948251	-0.0256822789836999	-0.197907591346989	1.96098462700682	1.23904317155851	-0.120363155645661	-0.757315472299602	0.0818534097282671	0.246987969573475	0.906867026008745	0.468422623824537	1.90270098987227	0.200359566474364	0	0	0	0
737	9.55424541928528	0.229514976440131	0.0146453860174987	0.278933067379626	0.0640634769569939	1.41083275441955	0.0900254554847971	1.91698852602231	0.359487990934844	0.19225501283612	0.930259050924089	0.0878198945585116	0.727606048301124	1.64345476921541	0.248145186059093	0	0	0	0
744	3.9283433812108	-1.21360513905585	-0.456434408621432	0.644854951826001	1.40202568226042	-1.99504109002986	-0.750330870229884	1.18519956575681	2.10397116806023	0.0775015919525557	0.472411659662594	0.266598213557249	0.0650206152663088	3.1999754289297	0.0771386126038453	0	0	0	0
