,DFC_126_2_Acetyl_norm,DFC_127N_2_Acetyl_norm,DKO_127C_2_Acetyl_norm,DKO_128N_2_Acetyl_norm,DKO_128C_2_Acetyl_norm,S3FL_129N_2_Acetyl_norm,S3FL_129C_2_Acetyl_norm,S3KO_130N_2_Acetyl_norm,S3KO_130C_2_Acetyl_norm,S3KO_131_2_Acetyl_norm
11135,3.0164771131073596,2.769117929407488,4.814844657590127,8.885430794621376,9.55542022507244,5.258002848680877,2.2236649429092776,2.399647867069363,2.749815280689147,6.416032057936215
11143,1.40050723108556,6.368971237637222,32.159528467677454,16.367898832197273,25.99485287035836,1.4722407976306455,0.6767675913202149,11.163579207670514,11.50848617473606,9.787167546004396
11147,13.143221707110637,18.09157047212892,40.69906427547881,27.31100833715202,29.385485853448582,13.355327235649428,21.946606175669828,18.362522808878605,13.545386382653946,14.245766094739732
11156,9.588087966662679,13.199462130175693,31.06937496029856,21.044441355682206,22.193234071135993,18.40300997038307,17.01587086747969,15.12821481413294,21.89667723511728,12.288332585538853
11158,38.99873981945944,57.597652931675746,138.6311876883497,98.95563979694123,122.7820125694792,43.115623359183196,62.84270490830568,29.630434532508655,39.31217401281521,22.619231661876828
11160,12.927759056174398,17.168531162326424,46.604062440447834,29.36868704748539,42.331539061611245,15.248208261174543,20.979795330926663,12.415569399184966,19.248706964824027,21.314275989076243
11166,39.32193379586379,61.93593768774747,190.59517154007713,147.12402778883606,176.21016866665843,43.7465837010249,93.39392760218966,40.794013740179174,34.830993555395864,30.666458310813773
11176,3.87832771685232,7.199706616459468,32.522912970137085,18.61263924347004,26.097599324391396,5.047682734733642,12.761903150609767,7.824938696965314,4.379335447023456,2.1749261213343103
11188,48.586827786122115,75.50461554184416,269.81299307627694,174.15444357457898,208.36980877899904,49.740706948521094,105.2857009925306,59.57386661289593,54.79261559299115,39.47490910221773
11191,19.283907258793477,32.39867977406761,103.29204482415048,75.38586547857714,102.43821467093788,12.934687007754958,38.189028367354986,21.909828351502878,19.146861954428136,16.094453297873898
11194,49.664141040803315,64.24353596225372,232.38438932293485,164.3337042752606,197.68417755956318,57.73287127851603,96.87444664326506,43.506659155127146,54.588925572199365,31.86266767754765
11195,21.86945907002836,31.19872867132436,92.4813558759764,64.25569427268302,66.47695575937493,20.08557088196095,30.647903778358305,15.336879846052014,21.692987214325495,16.42069221607404
11197,10.773132546811999,22.522159159180898,68.22544033679596,41.34063590760683,55.07209936170783,21.978451907486065,30.454541609409674,11.685241787468202,16.804426715322563,13.04955672800586
11199,10.773132546811999,15.69166826664243,50.96467646996343,35.26113062707641,45.72217204470146,13.25016717867581,27.84415232860313,12.624234431104039,15.174906548988256,8.917197097470671
11200,12.281371103365679,15.59936433566218,41.42583328039808,26.843354084803526,37.29696281399242,5.258002848680877,20.0129844861835,4.068968122421963,8.758670894046912,7.938480342870232
11203,76.5969724078333,99.50363759670905,319.50582378763164,221.48105391224652,264.6748655891033,56.891590822727096,116.21066353812834,62.912507123601124,68.84722702762456,50.458286014955995
11205,99.00508810520228,151.56305466956982,402.5391825996577,301.1693385124298,348.5159720800615,97.58853287151707,161.74745432553138,91.39528398055486,104.59482567658348,76.12241424670086
11208,60.54500491308344,105.59569704140554,285.98360343573063,197.06950193965514,262.61993650844255,49.00458654970578,103.73880364094153,51.01860030421385,56.727670790513145,47.848374669354826
11210,36.19772535728832,42.27520038895431,93.75320163458512,75.29233462810745,93.91025898619581,31.33769697813803,52.20778561613087,42.5676665114913,37.88634386727269,24.25042625287756
11436,101.9138338928415,149.90158391192534,692.5200155624442,493.56229792860006,523.9041691144556,77.81844216047698,184.854233514893,169.95766849808663,154.6007257809676,136.58536041979468
11440,22.515847022837075,33.137111221909606,111.4681961294922,92.03435686218353,114.76778915490233,27.236454756166943,42.63635825317355,35.26439039432368,38.701103950439844,31.86266767754765
11447,3.0164771131073596,6.184363375676723,17.079071615602718,16.180837131257874,19.316333358210954,9.148924956704725,9.18470302506006,8.86826385656069,5.397785550982399,7.829734036803517
11450,162.99749543326556,211.28369801379134,839.2365084305206,645.9240533437393,726.5201764676046,169.83349201239233,281.63199907368374,253.8410113295548,276.30551320406136,233.26082651310477
11455,81.12168807749434,101.8112358712153,268.2686089408235,196.41478598636726,262.9281758705417,59.205112076146676,109.05626328702893,91.60394901247393,71.59704230831372,62.52912598836142
