,CrATFL_126_1_Acetyl_norm,CrATFL_127N_1_Acetyl_norm,CrATFL_127C_1_Acetyl_norm,CrATKO_128N_1_Acetyl_norm,CrATKO_128C_1_Acetyl_norm,CrATKO_129N_1_Acetyl_norm,DFC_129C_1_Acetyl_norm,DFC_130N_1_Acetyl_norm,DKO_130C_1_Acetyl_norm,DKO_131_1_Acetyl_norm
27090,34.417642184928724,37.555288273072385,41.09289015522378,41.783181381536394,47.89536732220709,53.42428766878667,34.09164608492868,38.44538496273768,53.639125704336806,46.955579250106005
27094,45.22025980501584,31.060764737127535,65.49462845931913,69.31322145067953,43.276526867654624,46.74625171018834,43.91466275346746,54.26987059383815,42.869476683777954,37.145387236392175
27096,93.20397993144931,95.53538244904378,91.43848405400787,106.41043856512773,110.1493038835664,116.86562927547085,103.43058727461415,108.43830217722054,156.31675034694644,134.86632904290082
27101,235.6477983172492,212.90742374358328,217.61996353726676,251.18720956704007,236.46454935806645,251.13462498850097,217.83984023759515,251.56874593031515,282.93854611293455,287.44815046008097
27102,225.72446352670406,211.40144727148012,186.14262825280173,209.98977371888967,207.54659172956403,219.46454536666343,183.45928189770945,184.21324298768238,234.63196506926278,221.25316551317698
27107,3.76835498375132,6.4945235359448485,4.535639089980549,6.638449378374941,6.727441531630765,5.666212328507677,8.18584722378231,5.376267554155929,8.155656539840685,6.190897872732029
27108,320.6870091172373,224.01400022534403,246.64805371314225,428.96097894969836,224.71662907148735,231.20169947571506,267.24383583524605,290.9270819871548,253.2435915319761,267.25629893670884
27128,112.54820218137274,157.5627883937924,123.73223437466939,173.08780511557018,222.20638969401318,179.39632961507343,139.35201097427063,123.34983671421904,253.5572706296623,207.25221186253685
27130,23.615024564841605,25.319229437234263,18.868258614319085,27.432415813578803,35.042941709539356,24.78967893722109,18.10516797730676,18.461899902950545,38.687088714628885,30.19253270240082
27133,88.43073028536432,72.94573536749648,66.76460740451368,89.32619384136869,114.76814433811887,100.27172174198407,84.1697702774793,63.500820545313424,175.03293650888853,158.67747470725476
27136,13.691689774296464,17.601100017705605,18.596120268920252,23.42982133544097,25.001984199642692,18.71873715667715,19.4534251671062,13.491388390617708,140.63279546263743,117.9127933298808
27459,11.43067678404567,12.89492354238325,13.697630051741259,12.788777478928194,18.676180968407795,16.897454622513965,19.742337422063223,15.520168599733154,203.05493590218728,148.39105978025387
27483,35.04570134888727,31.53138238465977,30.570207466468904,29.580149435994223,37.55318108701352,37.03274486131804,28.602313240745254,31.24321522037785,153.59819816699957,119.81768498302911
27501,26.25287305346753,38.214152979617516,39.27863451923155,44.4190362817735,60.54697378467688,42.49659246380758,43.0479259885964,16.534558704290877,87.20278915675809,64.67107162438536
27502,13.06363061033791,17.789347076718496,13.516204488142037,18.93910557948145,20.58396289528816,16.08799571844144,12.038010623209281,12.27412026514844,29.38127548327221,21.906254011205643
27506,47.35566096247492,36.9905470960337,37.01081497424128,44.12616351508049,48.397415197701925,38.955209758490284,40.640323863954535,29.823069073997036,64.1996553264382,62.19471247529253
27509,28.011438712551477,17.601100017705605,21.22679094110897,32.41125284736001,29.420005503997228,24.28376712217576,31.202523535358456,29.112996000806632,415.41568503573126,348.11894961285486
27545,7.4110981347109295,10.824205893241414,7.619873671167324,11.714910667720485,10.543005385391497,13.963166095251063,10.304537093467145,7.405047763271373,18.088827966569724,13.143752406723385
27664,68.3328370386906,68.42780595118703,70.75596980369657,72.43719762873833,72.09407492105805,81.24943749627973,74.8282740338689,81.25264737507355,87.83014735213044,90.95857643783212
27667,22.10768257134108,15.248011780044425,24.673876649494186,24.50368814664868,23.29502142296026,23.676672944121364,24.36493350137559,17.954704850671686,26.34904420563913,19.906117775399906
27669,34.1664185193453,23.342635317598877,30.298069121070068,36.70672009219085,34.64130340914349,28.02751455351119,28.217096900802556,28.808678969439313,37.74605142157035,36.66916432310509
27672,109.15668269599658,96.66486480312115,106.58751861454292,115.4894943326111,133.84596360692254,128.90633047354967,113.44621211312428,104.68505879035695,145.33798192793014,143.53358606472565
27782,34.79447768330385,41.508476512343165,47.71492322659538,56.03632269392965,46.79086199611846,38.04456849140869,39.484674844126445,42.80726241233589,53.32544660665063,58.19444000368107
27788,45.47148347059927,35.390447094424104,55.06265855236387,61.89377802778989,60.54697378467688,56.45975855905864,56.626801971576455,47.98065194558026,58.34431216962951,50.86060713906005
27789,44.21536514268216,30.778394148608196,38.28079391943584,42.173678403793744,63.157622737250016,52.81719349073228,38.23272173931268,30.330264126275896,83.85687878143884,59.81359790885714
27795,48.23494379201689,67.20420006760322,54.24624351616737,82.78536871855809,99.60629849817491,78.51751369503495,66.16090638515821,39.561214077751174,136.76408659117456,105.2452638364445
27821,52.88258160531019,46.591147105691306,47.8963487901946,67.9464818727788,82.73748988154851,63.238976880666044,52.19681406223545,39.561214077751174,82.49760269146539,69.14756700928389
27846,10.425782121711986,16.848111781654026,16.509726287529197,21.672584735282896,19.780686294496427,16.897454622513965,26.194711116103395,19.171972976140953,28.231118791756217,18.191715287566424
27848,51.124015946226244,34.637458858372526,48.34991269919265,48.03113373765399,41.067516215477355,57.876311641185566,45.55183219822392,45.647554705097505,54.998401794310254,53.14647712283803
27850,15.827090931755544,13.742035307941274,15.421172905933867,11.324413645463135,16.46717031623053,21.55184332093099,16.853214872492995,11.766925212869578,18.611626462713357,14.953399477214285
27857,34.920089516095565,33.7903470928145,32.656601447859956,38.46395669234892,37.452771511914555,38.14575085441776,30.721003110430086,39.358336056839626,46.31994675832593,41.05041512534623
27860,22.86135356809134,22.777894140560193,27.48597288528213,27.82291283583615,24.600345899246825,31.26535016980129,24.84645392630396,24.54824053029688,32.308947061676555,28.19239646659509
27863,57.65583125139519,55.06226476127154,47.71492322659538,55.74344992723664,64.46294721353658,59.09049999729435,52.87094265713517,39.96697011957426,121.18469140609427,120.57964164428844
27866,10.048946623336853,7.812252949035108,10.522682688754873,10.348171089819761,14.258159664053263,15.278536814368916,11.55649019828091,14.100022453352342,23.31681292800606,16.95353571302002
